id,title,vendor,productType,variantsCount/count,mf_status/value,sku,product/id,product/title,image,__parentId,image/altText,image/url
gid://shopify/MediaImage/29209212616928,,,,,,,,,,gid://shopify/Product/7559568031968,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401B-FRONT.jpg?v=1644737892
gid://shopify/MediaImage/29209212649696,,,,,,,,,,gid://shopify/Product/7559568031968,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401B-BACK.jpg?v=1644737892
gid://shopify/MediaImage/29209212682464,,,,,,,,,,gid://shopify/Product/7559568031968,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401B-DETAIL.jpg?v=1644737892
gid://shopify/MediaImage/29209212780768,,,,,,,,,,gid://shopify/Product/7559568031968,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401B-DETAIL-ROOM.jpg?v=1644859351
gid://shopify/MediaImage/29209212715232,,,,,,,,,,gid://shopify/Product/7559568031968,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401B-ROOM.jpg?v=1644859351
gid://shopify/MediaImage/29209212748000,,,,,,,,,,gid://shopify/Product/7559568031968,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401B-ROOM2.jpg?v=1644859351
gid://shopify/Product/7559567999200,Loni Folding Round Dining Table Walnut,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42433998848224,,,,,,DTB1401A,gid://shopify/Product/7559567999200,Loni Folding Round Dining Table Walnut,,gid://shopify/Product/7559567999200,,
gid://shopify/MediaImage/29209212158176,,,,,,,,,,gid://shopify/Product/7559567999200,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401A-SIDE.jpg?v=1644737883
gid://shopify/MediaImage/29209212190944,,,,,,,,,,gid://shopify/Product/7559567999200,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401A-FRONT.jpg?v=1644737883
gid://shopify/MediaImage/29209212223712,,,,,,,,,,gid://shopify/Product/7559567999200,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401A-BACK.jpg?v=1644737883
gid://shopify/MediaImage/29209212256480,,,,,,,,,,gid://shopify/Product/7559567999200,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401A-DETAIL.jpg?v=1644737883
gid://shopify/MediaImage/29209212354784,,,,,,,,,,gid://shopify/Product/7559567999200,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401A-DETAIL-ROOM.jpg?v=1644859358
gid://shopify/MediaImage/29209212289248,,,,,,,,,,gid://shopify/Product/7559567999200,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401A-ROOM.jpg?v=1644859358
gid://shopify/MediaImage/29209212322016,,,,,,,,,,gid://shopify/Product/7559567999200,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401A-ROOM2.jpg?v=1644859358
gid://shopify/Product/4321072709690,Marcel Round Dining Table,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/31033296060474,,,,,,FOX4260A,gid://shopify/Product/4321072709690,Marcel Round Dining Table,,gid://shopify/Product/4321072709690,,
gid://shopify/MediaImage/5496204951610,,,,,,,,,,gid://shopify/Product/4321072709690,,https://cdn.shopify.com/s/files/1/0220/3498/products/FOX4260A-SIDE_377f504c-4613-45c2-ba44-5b4d0de7535c.jpg?v=1592358949
gid://shopify/MediaImage/6174737727546,,,,,,,,,,gid://shopify/Product/4321072709690,,https://cdn.shopify.com/s/files/1/0220/3498/products/FOX4260A-FRONT.jpg?v=1592358959
gid://shopify/MediaImage/5496205017146,,,,,,,,,,gid://shopify/Product/4321072709690,,https://cdn.shopify.com/s/files/1/0220/3498/products/FOX4260A-ROOM_3f111cc0-c9b0-4c4a-9922-ad375e05047e.jpg?v=1592358959
gid://shopify/Product/4321052065850,Miller Dining Table Gray/White Washed,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/31033261260858,,,,,,DTB6500B,gid://shopify/Product/4321052065850,Miller Dining Table Gray/White Washed,,gid://shopify/Product/4321052065850,,
gid://shopify/MediaImage/5496104386618,,,,,,,,,,gid://shopify/Product/4321052065850,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500B-BACK_f4e2e952-71a0-4096-8504-ff39f421da1f.jpg?v=1725083258
gid://shopify/MediaImage/5496104353850,,,,,,,,,,gid://shopify/Product/4321052065850,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500B-SIDE_7c37af1e-3a56-49d9-b98f-098a86ca15d5.jpg?v=1725083258
gid://shopify/MediaImage/5496104321082,,,,,,,,,,gid://shopify/Product/4321052065850,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500B-FRONT_b9cdb3b3-aa38-4457-89fa-9f3d747e1d81.jpg?v=1725083258
gid://shopify/MediaImage/5496104419386,,,,,,,,,,gid://shopify/Product/4321052065850,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500B-DETAIL_a03e11ca-d46b-4819-816b-e2f1f8ac9f0a.jpg?v=1573555999
gid://shopify/MediaImage/5496104452154,,,,,,,,,,gid://shopify/Product/4321052065850,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500B-LEG_5b85a203-e830-486d-b7d6-3f4b38517b07.jpg?v=1573555999
gid://shopify/MediaImage/5496104484922,,,,,,,,,,gid://shopify/Product/4321052065850,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500B-ROOM_778663d8-39d9-45f4-ae45-484c97e7eb4b.jpg?v=1573555999
gid://shopify/Product/4321052098618,Miller Dining Table Natural,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/31033261293626,,,,,,DTB6500A,gid://shopify/Product/4321052098618,Miller Dining Table Natural,,gid://shopify/Product/4321052098618,,
gid://shopify/MediaImage/5496104747066,,,,,,,,,,gid://shopify/Product/4321052098618,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500A-FRONT_7d424291-40f9-4f3e-a1e0-7172206dbd67.jpg?v=1573556011
gid://shopify/MediaImage/5496104779834,,,,,,,,,,gid://shopify/Product/4321052098618,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500A-BACK_46255520-1c90-47f1-aa6a-0f83ab01cb60.jpg?v=1573556011
gid://shopify/MediaImage/5496104812602,,,,,,,,,,gid://shopify/Product/4321052098618,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500A-TOP_070dc9f2-0001-495c-8e0f-05e3d74e2545.jpg?v=1573556011
gid://shopify/MediaImage/5496104845370,,,,,,,,,,gid://shopify/Product/4321052098618,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500A-DETAIL_0cfa31e9-006e-4bf0-ab3f-5fd4d1f5ab69.jpg?v=1573556011
gid://shopify/MediaImage/5496104878138,,,,,,,,,,gid://shopify/Product/4321052098618,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500A-LEG_a2508fa4-1ad4-46d0-b2e9-255741057eb7.jpg?v=1573556011
gid://shopify/MediaImage/5496104910906,,,,,,,,,,gid://shopify/Product/4321052098618,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB6500A-ROOM_e17d6b33-7283-4723-88ef-7c66cab17e78.jpg?v=1573556011
gid://shopify/Product/4321073266746,Moriah Wood Dining Table,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/31033296584762,,,,,,FOX4247A,gid://shopify/Product/4321073266746,Moriah Wood Dining Table,,gid://shopify/Product/4321073266746,,
gid://shopify/MediaImage/5496206393402,,,,,,,,,,gid://shopify/Product/4321073266746,,https://cdn.shopify.com/s/files/1/0220/3498/products/FOX4247A-SIDE_1b02d56c-39ea-460b-922b-8d3d8889c086.jpg?v=1573558715
gid://shopify/MediaImage/5496206426170,,,,,,,,,,gid://shopify/Product/4321073266746,,https://cdn.shopify.com/s/files/1/0220/3498/products/FOX4247A-FRONT_0c5bf9f9-cac2-4102-9a36-8b3122eb9324.jpg?v=1573558715
gid://shopify/MediaImage/5496206458938,,,,,,,,,,gid://shopify/Product/4321073266746,,https://cdn.shopify.com/s/files/1/0220/3498/products/FOX4247A-SIDE2_b85290a6-dbf7-4cd0-8e71-d71c864bdfd8.jpg?v=1573558715
gid://shopify/MediaImage/5496206491706,,,,,,,,,,gid://shopify/Product/4321073266746,,https://cdn.shopify.com/s/files/1/0220/3498/products/FOX4247A-ROOM_4b96314b-564f-4389-bafb-c1548b05a2e5.jpg?v=1573558715
gid://shopify/Product/7559583334624,Rafin Modern Concrete Console Dark Gray,Safavieh,Outdoor Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42434033877216,,,,,,VNN1019A,gid://shopify/Product/7559583334624,Rafin Modern Concrete Console Dark Gray,,gid://shopify/Product/7559583334624,,
gid://shopify/MediaImage/29209331695840,,,,,,,,,,gid://shopify/Product/7559583334624,,https://cdn.shopify.com/s/files/1/0220/3498/products/VNN1019A-SIDE.jpg?v=1644739666
gid://shopify/MediaImage/29209331728608,,,,,,,,,,gid://shopify/Product/7559583334624,,https://cdn.shopify.com/s/files/1/0220/3498/products/VNN1019A-FRONT.jpg?v=1644739666
gid://shopify/MediaImage/29209331761376,,,,,,,,,,gid://shopify/Product/7559583334624,,https://cdn.shopify.com/s/files/1/0220/3498/products/VNN1019A-SIDE2.jpg?v=1644739666
gid://shopify/MediaImage/29209331794144,,,,,,,,,,gid://shopify/Product/7559583334624,,https://cdn.shopify.com/s/files/1/0220/3498/products/VNN1019A-BACK.jpg?v=1644739666
gid://shopify/MediaImage/29209331826912,,,,,,,,,,gid://shopify/Product/7559583334624,,https://cdn.shopify.com/s/files/1/0220/3498/products/VNN1019A-ROOM.jpg?v=1644739666
gid://shopify/MediaImage/29209331859680,,,,,,,,,,gid://shopify/Product/7559583334624,,https://cdn.shopify.com/s/files/1/0220/3498/products/VNN1019A-ROOM2.jpg?v=1644739666
gid://shopify/Product/4321052000314,Sibel Square Dining Table Gray Walnut,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/31033261228090,,,,,,DTB9200B,gid://shopify/Product/4321052000314,Sibel Square Dining Table Gray Walnut,,gid://shopify/Product/4321052000314,,
gid://shopify/MediaImage/5496104058938,,,,,,,,,,gid://shopify/Product/4321052000314,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200B-SIDE_9777425d-87ae-48e3-bd44-778075c5e5d3.jpg?v=1573555990
gid://shopify/MediaImage/5496104091706,,,,,,,,,,gid://shopify/Product/4321052000314,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200B-FRONT_7a386055-edb1-4e51-ba41-610489a287c0.jpg?v=1573555990
gid://shopify/MediaImage/5496104124474,,,,,,,,,,gid://shopify/Product/4321052000314,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200B-DETAIL_982b01a8-d8cf-4065-9834-6ff432470fb7.jpg?v=1573555990
gid://shopify/MediaImage/5496104157242,,,,,,,,,,gid://shopify/Product/4321052000314,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200B-LEG_d6af2817-6e84-4114-8f25-598d157f470f.jpg?v=1573555990
gid://shopify/MediaImage/5496104190010,,,,,,,,,,gid://shopify/Product/4321052000314,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200B-ROOM_8f58f4d4-8b5d-442e-a924-8d4dc6beb0a4.jpg?v=1573555990
gid://shopify/Product/4321038598202,Sibel Square Dining Table Walnut,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/31033239568442,,,,,,DTB9200A,gid://shopify/Product/4321038598202,Sibel Square Dining Table Walnut,,gid://shopify/Product/4321038598202,,
gid://shopify/MediaImage/5496040685626,,,,,,,,,,gid://shopify/Product/4321038598202,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200A-SIDE_3bdc702c-d61d-4b63-839b-8cfb3b1efc4b.jpg?v=1573554321
gid://shopify/MediaImage/5496040718394,,,,,,,,,,gid://shopify/Product/4321038598202,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200A-FRONT_0208ac85-aebc-4ea3-86d9-f17067c35665.jpg?v=1573554321
